key,clientASN,clientASName,download,upload,latencyMs,loss,clientCity,clientCountry,serverPoP
"Ashburn, US (to IAD)",2386,INS-AS,31877295.333333332,26105008.055555556,28.23888888888889,0.0,Ashburn,US,IAD
"Ashburn, US (to IAD)",2559,VISANET,21836498.111111112,10739846.962962963,50.68333333333334,0.0,Ashburn,US,IAD
"Ashburn, US (to IAD)",2914,NTT-DATA-2914,73356885.13023256,294625288.95813954,77.95348837209302,0.0,Ashburn,US,IAD
"Ashburn, US (to IAD)",3257,GTT-BACKBONE,50644687.36470588,31977694.35882353,169.67235294117646,0.00010588235797031292,Ashburn,US,IAD
"Ashburn, US (to IAD)",3356,LEVEL3,101858589.6375,107492061.375,11.76625,0.0,Ashburn,US,IAD
"Ashburn, US (to IAD)",4010,DNIC-AS-04010,7039528.055555556,11644740.0,38.45,0.0,Ashburn,US,IAD
"Ashburn, US (to IAD)",4922,SHENTEL,300493370.5733333,239308031.11333334,5.9558333333333335,0.0,Ashburn,US,IAD
"Ashburn, US (to IAD)",5065,BUNNY-COMMUNICATIONS-GLOBAL,3003073.4520547944,2942385.191780822,325.2260273972603,0.0010547945594848796,Ashburn,US,IAD
"Ashburn, US (to IAD)",6167,CELLCO-PART,17044891.53125,3470903.265625,137.0046875,0.0,Ashburn,US,IAD
"Ashburn, US (to IAD)",6364,ATLANTIC-NET-1,1712727.431372549,2034076.931372549,415.7176470588235,0.05919607860200544,Ashburn,US,IAD
"Ashburn, US (to IAD)",6461,ZAYO-6461,182156009.45,137379845.7,4.525,0.0,Ashburn,US,IAD
"Ashburn, US (to IAD)",7018,ATT-INTERNET4,37327404.03125,36502322.59375,145.21041015625,0.0025742187226569357,Ashburn,US,IAD
"Ashburn, US (to IAD)",7029,WINDSTREAM,2825932.714285714,2688336.285714286,54.67857142857143,0.0,Ashburn,US,IAD
"Ashburn, US (to IAD)",7224,AMAZON-AS,54077744.837995335,79263985.504662,50.5490675990676,0.0003030303092825384,Ashburn,US,IAD
