name,country_iso2,date,latency_p20,latency_p50,latency_p80,download_p20,download_p50,download_p80,upload_p20,upload_p50,upload_p80,download,upload,latencyMs,iso_a2
Kansas,US,202506,32.51141357421875,28.08464241027832,25.318727493286133,145.3406219482422,230.48828125,307.85235595703125,16.080469131469727,21.930469512939453,29.59765625,230.48828125,21.930469512939453,28.08464241027832,US
Kentucky,US,202506,37.190956115722656,31.45767974853516,27.53784942626953,83.47734069824219,156.7570343017578,232.54296875,11.946874618530272,17.399999618530273,23.72265625,156.7570343017578,17.399999618530273,31.45767974853516,US
Louisiana,US,202506,40.39680099487305,33.32917785644531,28.837751388549805,62.97265625,140.0625,224.9750061035156,11.428906440734863,16.848438262939453,23.33984375,140.0625,16.848438262939453,33.32917785644531,US
Maine,US,202506,30.063526153564453,26.657442092895508,24.409154891967773,157.7335968017578,233.5375061035156,306.71954345703125,18.742969512939453,25.893749237060547,33.68029022216797,233.5375061035156,25.893749237060547,26.657442092895508,US
Maryland,US,202506,34.60932540893555,29.408117294311523,26.252153396606445,102.2132797241211,185.6999969482422,266.73907470703125,14.264843940734863,20.384374618530277,27.251562118530277,185.6999969482422,20.384374618530277,29.408117294311523,US
Massachusetts,US,202506,27.893373489379883,25.035797119140625,23.24349021911621,198.9187469482422,274.9921875,340.2718811035156,17.795312881469727,24.503124237060547,34.234375,274.9921875,24.503124237060547,25.035797119140625,US
Michigan,US,202506,36.84745407104492,30.88755226135254,26.802879333496097,81.01484680175781,156.47500610351562,235.1742248535156,13.637499809265137,19.033594131469727,25.66015625,156.47500610351562,19.033594131469727,30.88755226135254,US
Minnesota,US,202506,33.37762451171875,28.484479904174805,25.106006622314453,102.9242172241211,186.8023376464844,268.84686279296875,16.35546875,22.092187881469727,29.321094512939453,186.8023376464844,22.092187881469727,28.484479904174805,US
Mississippi,US,202506,41.60142135620117,34.15131378173828,28.92772674560547,63.92109298706055,142.8898468017578,229.0914001464844,11.439062118530272,16.792186737060547,23.415624618530277,142.8898468017578,16.792186737060547,34.15131378173828,US
Missouri,US,202506,37.76884460449219,31.41732406616211,27.25545310974121,94.8671875,173.90078735351562,255.8640594482422,13.3125,18.970312118530277,25.678125381469727,173.90078735351562,18.970312118530277,31.41732406616211,US
